Reading #,Test Type,Date,Time,Grid ID,Method ID,Method Family,Method Name,User Factor Name,Test Label,Collimation Status,ROHS Beam,Latitude,Longitude,Test Status,User ID,Status ID,Compound Template Name, Units,Mg Concentration,Mg Error1s,Mg Action Level,Mg Compound,Mg Compound Level,Mg Compound Error,Al Concentration,Al Error1s,Al Action Level,Al Compound,Al Compound Level,Al Compound Error,Si Concentration,Si Error1s,Si Action Level,Si Compound,Si Compound Level,Si Compound Error,P Concentration,P Error1s,P Action Level,P Compound,P Compound Level,P Compound Error,S Concentration,S Error1s,S Action Level,S Compound,S Compound Level,S Compound Error,K Concentration,K Error1s,K Action Level,K Compound,K Compound Level,K Compound Error,Ca Concentration,Ca Error1s,Ca Action Level,Ca Compound,Ca Compound Level,Ca Compound Error,Ti Concentration,Ti Error1s,Ti Action Level,Ti Compound,Ti Compound Level,Ti Compound Error,V Concentration,V Error1s,V Action Level,V Compound,V Compound Level,V Compound Error,Cr Concentration,Cr Error1s,Cr Action Level,Cr Compound,Cr Compound Level,Cr Compound Error,Mn Concentration,Mn Error1s,Mn Action Level,Mn Compound,Mn Compound Level,Mn Compound Error,Fe Concentration,Fe Error1s,Fe Action Level,Fe Compound,Fe Compound Level,Fe Compound Error,Co Concentration,Co Error1s,Co Action Level,Co Compound,Co Compound Level,Co Compound Error,Ni Concentration,Ni Error1s,Ni Action Level,Ni Compound,Ni Compound Level,Ni Compound Error,Cu Concentration,Cu Error1s,Cu Action Level,Cu Compound,Cu Compound Level,Cu Compound Error,Zn Concentration,Zn Error1s,Zn Action Level,Zn Compound,Zn Compound Level,Zn Compound Error,As Concentration,As Error1s,As Action Level,As Compound,As Compound Level,As Compound Error,Se Concentration,Se Error1s,Se Action Level,Se Compound,Se Compound Level,Se Compound Error,Rb Concentration,Rb Error1s,Rb Action Level,Rb Compound,Rb Compound Level,Rb Compound Error,Sr Concentration,Sr Error1s,Sr Action Level,Sr Compound,Sr Compound Level,Sr Compound Error,Y Concentration,Y Error1s,Y Action Level,Y Compound,Y Compound Level,Y Compound Error,Zr Concentration,Zr Error1s,Zr Action Level,Zr Compound,Zr Compound Level,Zr Compound Error,Nb Concentration,Nb Error1s,Nb Action Level,Nb Compound,Nb Compound Level,Nb Compound Error,Mo Concentration,Mo Error1s,Mo Action Level,Mo Compound,Mo Compound Level,Mo Compound Error,Ag Concentration,Ag Error1s,Ag Action Level,Ag Compound,Ag Compound Level,Ag Compound Error,Cd Concentration,Cd Error1s,Cd Action Level,Cd Compound,Cd Compound Level,Cd Compound Error,Sn Concentration,Sn Error1s,Sn Action Level,Sn Compound,Sn Compound Level,Sn Compound Error,Sb Concentration,Sb Error1s,Sb Action Level,Sb Compound,Sb Compound Level,Sb Compound Error,Ba Concentration,Ba Error1s,Ba Action Level,Ba Compound,Ba Compound Level,Ba Compound Error,W Concentration,W Error1s,W Action Level,W Compound,W Compound Level,W Compound Error,Hg Concentration,Hg Error1s,Hg Action Level,Hg Compound,Hg Compound Level,Hg Compound Error,Pb Concentration,Pb Error1s,Pb Action Level,Pb Compound,Pb Compound Level,Pb Compound Error,Bi Concentration,Bi Error1s,Bi Action Level,Bi Compound,Bi Compound Level,Bi Compound Error,Th Concentration,Th Error1s,Th Action Level,Th Compound,Th Compound Level,Th Compound Error,U Concentration,U Error1s,U Action Level,U Compound,U Compound Level,U Compound Error,LE Concentration,LE Error1s,LE Action Level,LE Compound,LE Compound Level,LE Compound Error,Historical Test ID,Customer,Project No.,Location,Test Count,Operator,Component,Quality,Retest Note ,Rate,Resolution,Peak1,Peak2,Slope,Offset,Error Code,Instrument Serial Num,Model,Tube Anode,Ambient Pressure 1,Tube Current Set 1,Tube Current Monitor 1,Tube Voltage Set 1,Tube Voltage Monitor 1,Hardware Live Time 1,Live Time 1,Real Time 1,Vacuum Pressure 1,Probe Temperature (°C) 1,Input Count Rate 1,Output Count Rate 1,Clip Top 1,Clip Bottom 1,Pileups 1,Width Rejects 1,Reset Count 1,Lt Multiplier 1,Col Multiplier 1,Energy Slope 1,Energy Offset 1,Exposure Number 1,Ambient Pressure 2,Tube Current Set 2,Tube Current Monitor 2,Tube Voltage Set 2,Tube Voltage Monitor 2,Hardware Live Time 2,Live Time 2,Real Time 2,Vacuum Pressure 2,Probe Temperature (°C) 2,Input Count Rate 2,Output Count Rate 2,Clip Top 2,Clip Bottom 2,Pileups 2,Width Rejects 2,Reset Count 2,Lt Multiplier 2,Col Multiplier 2,Energy Slope 2,Energy Offset 2,Exposure Number 2,Gold Plating,Au Karat,Au Fineness
101,NORMAL,5/17/20,17:13:01,H001,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,101,No,,,,No error ,Administrator,0,,%,<LOD,1.33225,,,,,2.59441,0.03627,,,,,14.93002,0.04539,,,,,0.11521,0.00307,,,,,0.10119,0.00309,,,,,0.93579,0.00386,,,,,1.14104,0.00386,,,,,0.23971,0.00737,,,,,<LOD,0.00909,,,,,0.00313,0.00094,,,,,0.03073,0.00101,,,,,1.18877,0.00464,,,,,<LOD,0.0049,,,,,<LOD,0.00136,,,,,0.00214,0.0002,,,,,0.02226,0.00028,,,,,0.00074,0.00011,,,,,<LOD,0.00021,,,,,0.00427,0.00007,,,,,0.00895,0.00008,,,,,0.00131,0.00007,,,,,0.02932,0.00015,,,,,0.00062,0.00008,,,,,<LOD,0.00062,,,,,<LOD,0.0019,,,,,<LOD,0.00217,,,,,<LOD,0.00298,,,,,<LOD,0.00382,,,,,0.04649,0.01168,,,,,<LOD,0.00134,,,,,<LOD,0.00075,,,,,0.00694,0.00013,,,,,<LOD,0.0024,,,,,<LOD,0.00113,,,,,<LOD,0.00067,,,,,78.59698,0.06449,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,903,66.28,66.33,40,40.03,29.2028,20.9458,30,903,34,112823,80922.4,97,1156,390511,0,0,1,1,0.0200003,-0.0421731,1,903,85.94,85.94,9.99,9.98,29.863,25.0047,30,903,34,81677,68389.2,0,0,174309,0,0,1,1,0.0200003,-0.0421731,2,,,
102,NORMAL,5/17/20,17:14:47,G01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,102,No,,,,No error ,Administrator,0,,%,<LOD,2.0755,,,,,1.04116,0.03738,,,,,4.05252,0.02456,,,,,0.2448,0.0045,,,,,0.39614,0.00467,,,,,0.88026,0.0044,,,,,4.37882,0.01417,,,,,0.08878,0.0071,,,,,<LOD,0.00909,,,,,<LOD,0.00449,,,,,0.07576,0.00152,,,,,0.75592,0.00412,,,,,0.00477,0.00095,,,,,<LOD,0.00162,,,,,0.00232,0.00023,,,,,0.03266,0.00039,,,,,0.00145,0.00018,,,,,<LOD,0.00026,,,,,0.00332,0.00007,,,,,0.01821,0.00014,,,,,0.00084,0.00009,,,,,0.01782,0.00015,,,,,0.00053,0.0001,,,,,0.0004,0.00013,,,,,<LOD,0.0022,,,,,<LOD,0.0025,,,,,<LOD,0.00342,,,,,<LOD,0.00437,,,,,0.03871,0.0123,,,,,<LOD,0.00172,,,,,<LOD,0.0009,,,,,0.01641,0.00022,,,,,<LOD,0.00295,,,,,0.00144,0.00025,,,,,0.00049,0.00011,,,,,87.94645,0.0549,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.4297,21.8342,30,904,34,81165.1,60217.3,36,504,232394,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8438,24.6921,30,904,34,96848.5,80130.2,0,0,241437,0,0,1,1,0.0200003,-0.0421731,2,,,
103,NORMAL,5/17/20,17:16:37,F01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,103,No,,,,No error ,Administrator,0,,%,<LOD,1.83105,,,,,2.03615,0.04103,,,,,8.13463,0.03536,,,,,0.29,0.00462,,,,,0.3575,0.00451,,,,,1.1002,0.00487,,,,,3.0597,0.00974,,,,,0.16249,0.00732,,,,,<LOD,0.00946,,,,,<LOD,0.00455,,,,,0.05634,0.00132,,,,,1.11457,0.00511,,,,,<LOD,0.00544,,,,,<LOD,0.0016,,,,,0.00225,0.00023,,,,,0.01937,0.0003,,,,,0.00061,0.00011,,,,,<LOD,0.00023,,,,,0.00404,0.00008,,,,,0.01713,0.00013,,,,,0.00106,0.00008,,,,,0.01977,0.00015,,,,,0.00047,0.0001,,,,,0.00043,0.00013,,,,,<LOD,0.00212,,,,,<LOD,0.00241,,,,,<LOD,0.00324,,,,,<LOD,0.00413,,,,,<LOD,0.13177,,,,,<LOD,0.00149,,,,,<LOD,0.00087,,,,,0.00535,0.00014,,,,,<LOD,0.00283,,,,,0.00116,0.00024,,,,,<LOD,0.00079,,,,,83.61679,0.06328,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.4331,21.8322,30,904,35,81525.7,60472.4,37,575,231280,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8569,24.8267,30,904,35,87155.7,72472.1,0,0,197838,0,0,1,1,0.0200003,-0.0421731,2,,,
104,NORMAL,5/17/20,17:18:13,E01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,104,No,,,,No error ,Administrator,0,,%,<LOD,1.78001,,,,,1.07947,0.04173,,,,,3.97812,0.02409,,,,,0.35249,0.00499,,,,,0.50931,0.00506,,,,,2.19948,0.00826,,,,,4.568,0.01475,,,,,0.06613,0.00702,,,,,<LOD,0.00872,,,,,<LOD,0.00444,,,,,0.09156,0.00166,,,,,0.46932,0.00315,,,,,<LOD,0.00378,,,,,<LOD,0.00163,,,,,0.00274,0.00022,,,,,0.01307,0.00025,,,,,<LOD,0.00049,,,,,<LOD,0.00023,,,,,0.00208,0.00007,,,,,0.02402,0.00016,,,,,0.00074,0.00008,,,,,0.01078,0.00013,,,,,<LOD,0.00059,,,,,<LOD,0.00076,,,,,<LOD,0.00218,,,,,<LOD,0.00247,,,,,<LOD,0.0033,,,,,<LOD,0.00419,,,,,<LOD,0.13266,,,,,<LOD,0.00141,,,,,<LOD,0.00084,,,,,0.00263,0.00011,,,,,<LOD,0.00304,,,,,0.0023,0.00026,,,,,0.00075,0.00011,,,,,86.62701,0.05823,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.5026,22.1099,30,904,35,70864.2,53107.3,22,553,187200,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8324,24.4759,30,904,36,105527,86578.9,0,0,285463,0,0,1,1,0.0200003,-0.0421731,2,,,
105,NORMAL,5/17/20,17:19:53,D01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,105,No,,33.58023015,-101.8655267,No error ,Administrator,0,,%,<LOD,1.81088,,,,,1.24927,0.03229,,,,,5.96202,0.02667,,,,,0.19155,0.00357,,,,,0.26966,0.00357,,,,,0.76086,0.00351,,,,,2.93715,0.00856,,,,,0.11105,0.00615,,,,,<LOD,0.0079,,,,,<LOD,0.00374,,,,,0.07428,0.00129,,,,,0.81235,0.00374,,,,,<LOD,0.00412,,,,,<LOD,0.0013,,,,,0.00225,0.00019,,,,,0.01806,0.00025,,,,,0.00066,0.00009,,,,,<LOD,0.0002,,,,,0.00276,0.00006,,,,,0.01902,0.00012,,,,,0.00086,0.00007,,,,,0.01556,0.00012,,,,,0.00039,0.00008,,,,,0.00037,0.00011,,,,,<LOD,0.00185,,,,,<LOD,0.00209,,,,,<LOD,0.00281,,,,,<LOD,0.00356,,,,,0.0324,0.01053,,,,,<LOD,0.00128,,,,,<LOD,0.00073,,,,,0.00368,0.00011,,,,,<LOD,0.0025,,,,,0.00103,0.00021,,,,,0.00047,0.00009,,,,,87.53432,0.04911,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.3094,21.3796,30,904,36,98913.5,72152.1,70,699,316562,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8405,24.6598,30,904,36,96585.2,79816.6,0,180,240956,0,0,1,1,0.0200003,-0.0421731,2,,,
106,NORMAL,5/17/20,17:21:38,C01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,106,No,,33.58023015,-101.8655267,No error ,Administrator,0,,%,<LOD,1.17188,,,,,2.51922,0.03506,,,,,11.9616,0.03828,,,,,0.11784,0.00304,,,,,0.18016,0.00315,,,,,0.84735,0.0035,,,,,2.32079,0.00647,,,,,0.40692,0.00786,,,,,<LOD,0.0095,,,,,0.00372,0.00091,,,,,0.04854,0.00113,,,,,1.21624,0.00463,,,,,<LOD,0.00486,,,,,<LOD,0.00131,,,,,0.00228,0.0002,,,,,0.02378,0.00029,,,,,0.00072,0.0001,,,,,<LOD,0.0002,,,,,0.00409,0.00006,,,,,0.01254,0.00009,,,,,0.00114,0.00007,,,,,0.01915,0.00012,,,,,0.00057,0.00008,,,,,<LOD,0.00059,,,,,<LOD,0.00181,,,,,<LOD,0.00205,,,,,<LOD,0.00279,,,,,<LOD,0.00357,,,,,<LOD,0.1244,,,,,<LOD,0.00132,,,,,<LOD,0.00073,,,,,0.00626,0.00013,,,,,<LOD,0.00232,,,,,<LOD,0.00109,,,,,<LOD,0.00066,,,,,80.30709,0.05948,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.2218,20.9917,30,904,36,111224,79898.5,85,1305,381608,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8328,24.4685,30,904,36,101705,83417,0,0,265473,0,0,1,1,0.0200003,-0.0421731,2,,,
107,NORMAL,5/17/20,17:23:09,B01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,107,No,,33.58023015,-101.8655267,No error ,Administrator,0,,%,0.59144,0.1659,,,,,2.17079,0.03117,,,,,11.38611,0.03928,,,,,0.08956,0.00249,,,,,0.09116,0.00249,,,,,0.73716,0.00321,,,,,1.33196,0.00443,,,,,0.17494,0.00598,,,,,<LOD,0.00744,,,,,0.00269,0.0008,,,,,0.05343,0.00105,,,,,1.01483,0.00411,,,,,<LOD,0.00404,,,,,<LOD,0.00112,,,,,0.00236,0.00017,,,,,0.0229,0.00025,,,,,0.00095,0.00007,,,,,<LOD,0.00017,,,,,0.00344,0.00005,,,,,0.01059,0.00008,,,,,0.00093,0.00006,,,,,0.01485,0.0001,,,,,0.00037,0.00007,,,,,<LOD,0.00052,,,,,<LOD,0.00162,,,,,<LOD,0.00184,,,,,<LOD,0.0025,,,,,<LOD,0.00318,,,,,<LOD,0.10301,,,,,<LOD,0.00114,,,,,<LOD,0.00064,,,,,0.00283,0.00009,,,,,0.00255,0.00037,,,,,<LOD,0.00097,,,,,<LOD,0.00058,,,,,82.29415,0.14664,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.0837,20.5349,30,904,36,129619,91519,146,1761,492384,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8433,24.7017,30,904,36,92300.4,76398.1,0,0,220735,0,0,1,1,0.0200003,-0.0421731,2,,,
108,NORMAL,5/17/20,17:24:55,A01,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,108,No,,33.58038237,-101.8656076,No error ,Administrator,0,,%,<LOD,2.58054,,,,,2.29282,0.04655,,,,,10.61718,0.04649,,,,,0.05582,0.00381,,,,,0.04414,0.0042,,,,,0.71443,0.00441,,,,,1.77703,0.00681,,,,,0.19656,0.00872,,,,,<LOD,0.0109,,,,,<LOD,0.00506,,,,,0.04044,0.0013,,,,,1.06508,0.0054,,,,,<LOD,0.0057,,,,,0.00187,0.00038,,,,,0.0029,0.00026,,,,,0.01565,0.0003,,,,,0.00089,0.0001,,,,,<LOD,0.00025,,,,,0.00375,0.00008,,,,,0.00983,0.00011,,,,,0.00107,0.00009,,,,,0.02119,0.00017,,,,,0.00063,0.0001,,,,,<LOD,0.00078,,,,,<LOD,0.00242,,,,,<LOD,0.00276,,,,,<LOD,0.00377,,,,,<LOD,0.00482,,,,,<LOD,0.15345,,,,,<LOD,0.00158,,,,,<LOD,0.00095,,,,,0.00288,0.00012,,,,,<LOD,0.00304,,,,,0.00092,0.00026,,,,,<LOD,0.00083,,,,,83.13492,0.07223,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.4705,21.9482,30,904,35,74151.4,55224.4,34,431,203359,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.895,25.4924,30,904,35,61518.7,52459,0,0,102591,0,0,1,1,0.0200003,-0.0421731,2,,,
109,NORMAL,5/17/20,17:27:01,H002,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,109,No,,33.58017731,-101.8657774,No error ,Administrator,0,,%,<LOD,2.31526,,,,,1.36168,0.04142,,,,,5.78019,0.03208,,,,,0.24029,0.00497,,,,,0.2744,0.00483,,,,,0.63122,0.00408,,,,,4.07465,0.01398,,,,,0.10066,0.0074,,,,,<LOD,0.00922,,,,,<LOD,0.00472,,,,,0.07716,0.00162,,,,,0.62332,0.0039,,,,,<LOD,0.00443,,,,,<LOD,0.00175,,,,,0.0026,0.00024,,,,,0.02483,0.00036,,,,,0.00034,0.0001,,,,,<LOD,0.00024,,,,,0.00179,0.00007,,,,,0.02096,0.00016,,,,,0.00034,0.00009,,,,,0.00971,0.00014,,,,,<LOD,0.00063,,,,,<LOD,0.0008,,,,,<LOD,0.00227,,,,,<LOD,0.00257,,,,,<LOD,0.00342,,,,,<LOD,0.00434,,,,,<LOD,0.13616,,,,,<LOD,0.00161,,,,,<LOD,0.00085,,,,,0.0035,0.00013,,,,,<LOD,0.00324,,,,,0.00328,0.00028,,,,,0.00069,0.00012,,,,,86.76839,0.06124,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,904,66.28,66.33,40,40.03,29.5532,22.2529,30,904,37,63896.6,48112.7,15,269,159869,0,0,1,1,0.0200003,-0.0421731,1,904,85.94,85.94,9.99,9.98,29.8675,25.0593,30,904,37,80279.4,67355.8,0,354,170314,0,0,1,1,0.0200003,-0.0421731,2,,,
110,NORMAL,5/17/20,17:28:34,G02,geoChem3-VMR,Geo Chem 3,Geochem(3-Beam),idvl,110,No,,33.58020809,-101.8656126,No error ,Administrator,0,,%,<LOD,1.57561,,,,,1.63178,0.03247,,,,,6.93676,0.02815,,,,,0.21715,0.00354,,,,,0.34155,0.00368,,,,,0.73016,0.00334,,,,,2.6874,0.00768,,,,,0.1445,0.00627,,,,,<LOD,0.00824,,,,,<LOD,0.00391,,,,,0.05271,0.00113,,,,,1.00641,0.00416,,,,,0.0032,0.0009,,,,,<LOD,0.0013,,,,,0.00246,0.00019,,,,,0.02027,0.00026,,,,,0.00073,0.00021,,,,,<LOD,0.00022,,,,,0.00388,0.00006,,,,,0.01322,0.0001,,,,,0.00086,0.00007,,,,,0.0237,0.00014,,,,,0.00052,0.00008,,,,,<LOD,0.0006,,,,,<LOD,0.0018,,,,,<LOD,0.00205,,,,,<LOD,0.00277,,,,,<LOD,0.00354,,,,,<LOD,0.11457,,,,,<LOD,0.00132,,,,,<LOD,0.00081,,,,,0.03365,0.00027,,,,,<LOD,0.00244,,,,,<LOD,0.00112,,,,,<LOD,0.00068,,,,,86.1491,0.04977,,,,,,,,Top,29,,Pipe,Accept,,,,,,,,,801422,VMR,Rh,905,66.28,66.33,40,40.03,29.2268,21.026,30,905,37,111045,79886.6,79,1162,380195,0,0,1,1,0.0200003,-0.0421731,1,905,85.94,85.94,9.99,9.98,29.8248,24.3792,30,905,38,104263,85225.7,0,0,278022,0,0,1,1,0.0200003,-0.0421731,2,,,
